Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,abbreviation,alternative label,alternative LaTeX symbol,alternative symbol,commonly has unit,has aggregate function,has base,has base quantity,has base unit,has context,has denominator,has derived quantity,has derived unit,has dimension,has exponent,has factor,has numerator,has numerical value,has off-set,has phenomenon,has point,has prefix,has quantity,has scale,has SI amount of substance dimension exponent,has SI electric current dimension exponent,has SI length dimension exponent,has SI luminous intensity dimension exponent,has SI mass dimension exponent,has SI thermodynamic temperature dimension exponent,has SI time dimension exponent,has term 1,has term 2,has unit,has value,http://data.bioontology.org/metadata/prefixIRI,http://purl.org/dc/elements/1.1/creator,http://purl.org/dc/elements/1.1/date,http://purl.org/dc/elements/1.1/description,http://purl.org/dc/elements/1.1/format,http://purl.org/dc/elements/1.1/identifier,http://purl.org/dc/elements/1.1/isPartOf,http://purl.org/dc/elements/1.1/publisher,http://purl.org/dc/elements/1.1/subject,http://purl.org/dc/elements/1.1/title,http://purl.org/dc/terms/license,http://purl.org/ontology/bibo/authorList,http://purl.org/ontology/bibo/chapter,http://purl.org/ontology/bibo/degree,http://purl.org/ontology/bibo/edition,http://purl.org/ontology/bibo/isbn10,http://purl.org/ontology/bibo/isbn13,http://purl.org/ontology/bibo/issuer,http://purl.org/ontology/bibo/pageEnd,http://purl.org/ontology/bibo/pageStart,http://purl.org/ontology/bibo/reproducedIn,http://purl.org/ontology/bibo/shortTitle,http://purl.org/ontology/bibo/uri,http://purl.org/ontology/bibo/volume,http://www.w3.org/2004/02/skos/core#hiddenLabel,http://www.wurvoc.org/vocabularies/WV/illustration,http://www.wurvoc.org/vocabularies/WV/logo,http://xmlns.com/foaf/0.1/based_near,http://xmlns.com/foaf/0.1/name,LaTeX command,LaTeX symbol,longcomment,reference,symbol,unofficial abbreviation,unofficial label,uses quantity,uses unit
http://www.ontology-of-units-of-measure.org/resource/om-2/Heat,heat,,Heat is any flow of energy from one body or system to another due to a difference in temperature.,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Energy,,quantity of heat,,,http://www.ontology-of-units-of-measure.org/resource/om-2/wattHour|http://www.ontology-of-units-of-measure.org/resource/om-2/tonOfTNT|http://www.ontology-of-units-of-measure.org/resource/om-2/therm-US|http://www.ontology-of-units-of-measure.org/resource/om-2/therm-EC|http://www.ontology-of-units-of-measure.org/resource/om-2/terawattHour|http://www.ontology-of-units-of-measure.org/resource/om-2/terajoule|http://www.ontology-of-units-of-measure.org/resource/om-2/quad|http://www.ontology-of-units-of-measure.org/resource/om-2/picojoule|http://www.ontology-of-units-of-measure.org/resource/om-2/petajoule|http://www.ontology-of-units-of-measure.org/resource/om-2/newtonMetre|http://www.ontology-of-units-of-measure.org/resource/om-2/nanojoule|http://www.ontology-of-units-of-measure.org/resource/om-2/millinewtonMetre|http://www.ontology-of-units-of-measure.org/resource/om-2/millijoule|http://www.ontology-of-units-of-measure.org/resource/om-2/micronewtonMetre|http://www.ontology-of-units-of-measure.org/resource/om-2/microjoule|http://www.ontology-of-units-of-measure.org/resource/om-2/megawattHour|http://www.ontology-of-units-of-measure.org/resource/om-2/megajoule|http://www.ontology-of-units-of-measure.org/resource/om-2/megaerg|http://www.ontology-of-units-of-measure.org/resource/om-2/megaelectronvolt|http://www.ontology-of-units-of-measure.org/resource/om-2/kilowattHour|http://www.ontology-of-units-of-measure.org/resource/om-2/kilojoule|http://www.ontology-of-units-of-measure.org/resource/om-2/kiloelectronvolt|http://www.ontology-of-units-of-measure.org/resource/om-2/kilocalorie-Mean|http://www.ontology-of-units-of-measure.org/resource/om-2/joule|http://www.ontology-of-units-of-measure.org/resource/om-2/hectojoule|http://www.ontology-of-units-of-measure.org/resource/om-2/gigawattHour|http://www.ontology-of-units-of-measure.org/resource/om-2/gigajoule|http://www.ontology-of-units-of-measure.org/resource/om-2/gigaelectronvolt|http://www.ontology-of-units-of-measure.org/resource/om-2/footPoundal|http://www.ontology-of-units-of-measure.org/resource/om-2/femtojoule|http://www.ontology-of-units-of-measure.org/resource/om-2/exajoule|http://www.ontology-of-units-of-measure.org/resource/om-2/erg|http://www.ontology-of-units-of-measure.org/resource/om-2/electronvolt|http://www.ontology-of-units-of-measure.org/resource/om-2/decijoule|http://www.ontology-of-units-of-measure.org/resource/om-2/decajoule|http://www.ontology-of-units-of-measure.org/resource/om-2/centijoule|http://www.ontology-of-units-of-measure.org/resource/om-2/calorie-Thermochemical|http://www.ontology-of-units-of-measure.org/resource/om-2/calorie-Mean|http://www.ontology-of-units-of-measure.org/resource/om-2/calorie-InternationalTable|http://www.ontology-of-units-of-measure.org/resource/om-2/calorie-20C|http://www.ontology-of-units-of-measure.org/resource/om-2/calorie-15C|http://www.ontology-of-units-of-measure.org/resource/om-2/attojoule|http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-Thermochemical|http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-Mean|http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-InternationalTable|http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-60F|http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-59F|http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-39F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedMetrePerPrefixedSecond-Time,prefixed metre per prefixed second (time),,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/UnitDivision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PrefixedMetrePerPrefixedSecond-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/EnergyDensity,energiedichtheid,,Energy density is the amount of energy stored in a given system or region of space per unit volume.,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerCubicmetre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnergyDensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/ContactAngle,contact angle,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Angle,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/second-Angle|http://www.ontology-of-units-of-measure.org/resource/om-2/revolution|http://www.ontology-of-units-of-measure.org/resource/om-2/radian|http://www.ontology-of-units-of-measure.org/resource/om-2/picoradian|http://www.ontology-of-units-of-measure.org/resource/om-2/nanoradian|http://www.ontology-of-units-of-measure.org/resource/om-2/minute-Angle|http://www.ontology-of-units-of-measure.org/resource/om-2/millisecond-Angle|http://www.ontology-of-units-of-measure.org/resource/om-2/milliradian|http://www.ontology-of-units-of-measure.org/resource/om-2/mil-Angle|http://www.ontology-of-units-of-measure.org/resource/om-2/microsecond-Angle|http://www.ontology-of-units-of-measure.org/resource/om-2/microradian|http://www.ontology-of-units-of-measure.org/resource/om-2/metrePerMetre|http://www.ontology-of-units-of-measure.org/resource/om-2/gon|http://www.ontology-of-units-of-measure.org/resource/om-2/femtoradian|http://www.ontology-of-units-of-measure.org/resource/om-2/degree|http://www.ontology-of-units-of-measure.org/resource/om-2/deciradian|http://www.ontology-of-units-of-measure.org/resource/om-2/centiradian|http://www.ontology-of-units-of-measure.org/resource/om-2/attoradian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ContactAngle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/ReaumurTemperature,Réaumur temperature,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Temperature,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/degreeReaumur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ReaumurTemperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/FrequencyUnit,frequency unit,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FrequencyUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,singular unit,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SingularUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/AngleUnit,angle unit,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AngleUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/ElectricFluxDensity,electric flux density,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/coulombPerSquareMetre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ElectricFluxDensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/FlowpackMass,flowpack mass,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Mass,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/tonne|http://www.ontology-of-units-of-measure.org/resource/om-2/kilogram|http://www.ontology-of-units-of-measure.org/resource/om-2/gram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FlowpackMass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flowpack weight,,
