Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,has_exact_synonym,has_related_synonym,http://data.bioontology.org/metadata/prefixIRI,http://purl.obolibrary.org/obo/has_prefix,http://purl.obolibrary.org/obo/IAO_0000115,http://purl.obolibrary.org/obo/is_unit_of,http://purl.org/dc/elements/1.1/source,http://www.geneontology.org/formats/oboInOwl#hasDbXref
http://purl.obolibrary.org/obo/UO_0000188,pi,,"A dimensionless unit which denoted an irrational real number, approximately equal to 3.14159 which is the ratio of a circle's circumference to its diameter in Euclidean geometry.",FALSE,,,http://purl.obolibrary.org/obo/UO_1000188,,,UO:0000188,,"A dimensionless unit which denoted an irrational real number, approximately equal to 3.14159 which is the ratio of a circle's circumference to its diameter in Euclidean geometry.",,,
http://purl.obolibrary.org/obo/UO_0000184,kilogram per meter,kilogram per metre|kg/m,An area density unit which is equal to the mass of an object in kilograms divided by one meter.,FALSE,,,http://purl.obolibrary.org/obo/UO_0000183,kilogram per metre|kg/m,,UO:0000184,,An area density unit which is equal to the mass of an object in kilograms divided by one meter.,,,
http://purl.obolibrary.org/obo/UO_0000180,mass per unit volume,,A concentration unit which is a standard measure of the mass of a substance in a given volume (density).,FALSE,,,http://purl.obolibrary.org/obo/UO_1000180,,,UO:0000180,,A concentration unit which is a standard measure of the mass of a substance in a given volume (density).,,,
http://purl.obolibrary.org/obo/UO_0000181,enzyme unit,U,A catalytic unit activity which is equal to the amount of the enzyme that catalyzes the conversion of 1 micro mole of substrate per minute.,FALSE,,,http://purl.obolibrary.org/obo/UO_1000181,U,,UO:0000181,,A catalytic unit activity which is equal to the amount of the enzyme that catalyzes the conversion of 1 micro mole of substrate per minute.,,,
http://purl.obolibrary.org/obo/UO_0000186,dimensionless unit,,A unit which is a standard measure of physical quantity consisting of only a numerical number without any units.,FALSE,,,http://purl.obolibrary.org/obo/UO_0000000,,,UO:0000186,,A unit which is a standard measure of physical quantity consisting of only a numerical number without any units.,,,
http://purl.obolibrary.org/obo/UO_0000185,degree,,A plane angle unit which is equal to 1/360 of a full rotation or 1.7453310^[-2] rad.,FALSE,,,http://purl.obolibrary.org/obo/UO_1000185,,,UO:0000185,,A plane angle unit which is equal to 1/360 of a full rotation or 1.7453310^[-2] rad.,,,
http://purl.obolibrary.org/obo/UO_0000182,density unit,,A unit which is a standard measure of the influence exerted by some mass.,FALSE,,,http://purl.obolibrary.org/obo/UO_0000000,,,UO:0000182,,A unit which is a standard measure of the influence exerted by some mass.,,,
http://purl.obolibrary.org/obo/UO_0000183,linear density unit,,A density unit which is a standard measure of the mass exerting an influence on a one-dimensional object.,FALSE,,,http://purl.obolibrary.org/obo/UO_0000182,,,UO:0000183,,A density unit which is a standard measure of the mass exerting an influence on a one-dimensional object.,,,
http://purl.obolibrary.org/obo/UO_0000189,count unit,count,A dimensionless unit which denotes a simple count of things.,FALSE,,,http://purl.obolibrary.org/obo/UO_0000186,count,,UO:0000189,,A dimensionless unit which denotes a simple count of things.,,,
http://purl.obolibrary.org/obo/UO_0000187,percent,%,A dimensionless ratio unit which denotes numbers as fractions of 100.,FALSE,,,http://purl.obolibrary.org/obo/UO_0000190,%,,UO:0000187,,A dimensionless ratio unit which denotes numbers as fractions of 100.,,,
